;user_id;sex;university;faculty;graduation_year;faculty_type;outMinTransactionTime;outMaxTransactionTime;outMinCost;outMaxCost;outSumCost;outTransactionsCount;outAvgCost;outMinGap;outMaxGap;outEndTime;outCategoriesCount;inMinTransactionTime;inMaxTransactionTime;inMinCost;inMaxCost;inSumCost;inTransactionsCount;inAvgCost;inMinGap;inMaxGap;inEndTime;inCategoriesCount;cash_acts;credits;bookmaker_in;bookmaker_out;bookmaker_delta;online_games_in;online_games_out;online_games_delta;target
23;304;;ЮУрГУ;Международный факультет (до 2016 г.);2017;Human;2;17;10;1200;5160;13;396.923;0;6;20;4;2;10;300;1200;5100;10;510.0;0;4;27;2;7;0;0;0;0;0;0;0;74.1665
24;315;Муж;СГА;Психология;2018;Human;6;26;250;2000;3000;8;375.0;1;17;11;1;1;26;250;2000;3000;8;375.0;1;19;11;1;4;0;0;0;0;0;3000;3000;74.1665
25;319;Муж;МГОПИ;Иностранных языков;2014;Human;1;35;10;4000;27430;55;498.727;0;6;2;6;7;30;100;5000;20550;18;1141.67;0;5;7;2;15;0;0;0;0;0;0;0;74.1665
26;339;;АГЗ ОКЗ;Гуманитарный №4;2016;Human;17;17;5000;5000;5000;1;5000.0;0;0;20;1;16;16;5200;5200;5200;1;5200.0;0;0;21;1;1;0;0;0;0;0;0;0;74.1665
27;340;;МГПУ;Институт иностранных языков;2015;Human;6;12;10;450;460;3;153.333;6;6;25;2;6;6;450;450;450;2;225.0;0;0;31;1;1;0;0;0;0;0;0;0;74.1665
28;359;;ТвГУ;Иностранных языков и международной коммуникации;2018;Human;2;16;20;300;530;9;58.8889;2;6;21;3;2;10;200;300;500;3;166.667;8;8;27;2;1;0;0;0;0;0;0;0;74.1665
29;365;;ЮУрГУ;Факультет психологии (до 2016 г.);2014;Human;13;35;60;1500;3760;9;417.778;0;19;2;3;13;15;700;1500;2200;3;733.3330000000001;2;2;22;1;2;0;0;0;0;0;0;0;74.1665
30;375;;МГУ;Филологический;2014;Human;9;17;40;15000;15140;3;5046.67;1;7;20;2;9;10;150;15000;15150;2;7575.0;1;1;27;1;2;0;0;0;0;0;0;0;74.1665
31;390;Муж;МГУ;Журналистики;2017;Human;26;33;50;100;200;3;66.6667;1;6;4;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;150;150;74.1665
32;404;;МГУ;Журналистики;2014;Human;2;16;40;600;1690;5;338.0;1;6;21;2;3;3;90;90;90;1;90.0;0;0;34;1;0;0;0;0;0;0;0;0;74.1665
33;431;;РГУ им. Канта (бывш. КГУ);Институт гуманитарных наук (бывш. Исторический, Филологии и журналистики);2017;Human;1;9;10;2500;2660;3;886.6669999999999;2;6;28;3;1;1;150;150;150;1;150.0;0;0;36;1;1;0;0;0;0;0;0;0;74.1665
34;443;Жен;МГУ;Журналистики;2015;Human;1;26;70;1600;29170;173;168.613;0;1;11;6;1;25;100;3200;29300;74;395.94599999999997;1;1;12;1;25;0;0;0;0;0;0;0;74.1665
35;452;Жен;НИУ ВШЭ (ГУ-ВШЭ);Гуманитарных наук (Философии, Филологии, Истории);2016;Human;6;34;80;5300;46430;72;644.861;0;4;3;8;6;34;500;5000;46700;34;1373.53;0;4;3;2;18;0;0;0;0;0;23680;23680;74.1665
36;464;Муж;РГСУ;Гуманитарный (бывш. Социально-гуманитарный);2015;Human;2;33;10;8800;34160;91;375.385;0;6;4;5;2;27;100;8300;33300;85;391.765;0;5;10;3;21;0;0;9700;9700;0;0;0;74.1665
37;469;Жен;МГУП (печати) (бывш. МГАП, МПИ);Институт издательского дела и журналистики;2017;Human;7;30;10;1600;14870;72;206.528;0;3;7;7;7;25;50;2300;8050;14;575.0;1;8;12;1;9;0;0;1500;1500;0;1700;1700;74.1665
38;471;;НИУ МЭИ (МЭИ ТУ);Гуманитарно-прикладной институт;2014;Human;8;17;20;600;820;3;273.33299999999997;3;6;20;2;8;11;200;600;800;2;400.0;3;3;26;2;2;0;0;0;0;0;800;800;74.1665
39;475;Муж;МГУ;Журналистики;2018;Human;11;24;500;3500;11600;21;552.381;1;7;13;2;11;24;500;3600;11700;21;557.143;1;7;13;1;8;1;0;0;0;0;8100;8100;74.1665
40;478;Муж;МГОПИ;Исторический;2018;Human;1;36;40;3700;46660;128;364.531;0;3;1;7;1;36;50;4700;45470;109;417.156;0;4;1;3;29;0;0;0;0;0;34840;34840;74.1665
41;482;Жен;РУДН;Институт иностранных языков;2016;Human;2;33;80;14500;106130;50;2122.6;0;2;4;7;1;28;1000;14700;100300;31;3235.48;1;2;9;2;20;1;0;0;0;0;0;0;74.1665
42;517;Муж;КФУ (бывш. КГУ им. Ульянова-Ленина);Институт международных отношений, истории и востоковедения;2017;Human;3;24;200;300;800;4;200.0;3;18;13;1;3;24;200;300;800;4;200.0;3;18;13;1;3;0;0;0;0;0;800;800;74.1665
43;526;;ВГПУ;Филологический;2015;Human;1;1;10;10;10;1;10.0;0;0;36;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
44;599;Муж;МГУ;Мировой политики;2015;Human;1;25;10;500;1690;37;45.6757;0;6;12;5;1;23;10;400;750;11;68.1818;0;10;14;4;6;0;40;960;920;0;0;0;74.1665
45;601;;МГУ;Журналистики;2016;Human;13;20;50;400;600;3;200.0;1;6;17;3;9;14;200;1500;3600;5;720.0;0;4;23;2;4;0;0;0;0;0;0;0;74.1665
46;608;Жен;МГОУ (областной);Русской филологии (Историко-филологический институт);2015;Human;10;35;250;6900;29100;24;1212.5;0;6;2;3;10;35;300;5200;26300;21;1252.38;1;7;2;2;11;0;0;0;0;0;0;0;74.1665
47;612;Муж;МГУ;Журналистики;2018;Human;27;33;10;200;210;2;105.0;6;6;4;2;27;27;200;200;200;1;200.0;0;0;10;1;1;0;0;0;0;0;0;0;74.1665
48;635;Жен;МПГУ (бывш. МГПИ им. Ленина);Повышения квалификации и профессиональной переподготовки работников образования;2016;Human;27;33;700;3800;4500;3;1500.0;6;6;4;2;27;27;3800;3800;3800;2;1900.0;0;0;10;1;1;0;0;0;0;0;3800;3800;74.1665
49;640;;РГСУ;Гуманитарный (бывш. Социально-гуманитарный);2014;Human;4;4;20;20;20;1;20.0;0;0;33;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
50;644;;МГУ;Исторический;2017;Human;1;14;10;2900;8110;13;623.846;0;6;23;4;1;6;500;1700;5200;6;866.6669999999999;1;2;31;1;5;0;0;0;0;0;3800;3800;74.1665
51;645;;ННГУ им. Лобачевского;Социальных наук;2015;Human;31;31;600;600;600;2;300.0;0;0;6;1;30;30;600;600;600;2;300.0;0;0;7;1;0;0;0;0;0;0;0;0;74.1665
52;648;Муж;СГА;Высшего образования;2015;Human;1;36;10;13000;200510;485;413.423;0;1;1;18;1;36;10;15100;172250;166;1037.65;0;2;1;8;32;0;0;0;0;0;50;50;74.1665
53;665;;РГСУ;Гуманитарный (бывш. Социально-гуманитарный);2014;Human;32;32;2900;2900;2900;1;2900.0;0;0;5;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
54;676;Муж;МГУ;Иностранных языков и регионоведения;2015;Human;5;32;20;1200;5870;33;177.87900000000002;0;3;5;3;5;32;50;1600;5910;28;211.071;1;3;5;1;17;0;0;0;0;0;5200;5200;74.1665
55;680;;МПГУ (бывш. МГПИ им. Ленина);Исторический;2018;Human;3;14;30;600;1240;8;155.0;0;8;23;3;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
56;685;;МПГУ (бывш. МГПИ им. Ленина);Исторический;2014;Human;6;21;30;800;860;3;286.66700000000003;2;13;16;2;8;15;700;800;1500;2;750.0;7;7;22;1;2;0;0;0;0;0;800;800;74.1665
57;688;;МПГУ (бывш. МГПИ им. Ленина);Начального образования (Институт детства);2015;Human;35;35;20;70;90;2;45.0;0;0;2;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;70;70;74.1665
58;718;;МПГУ (бывш. МГПИ им. Ленина);Исторический;2018;Human;2;33;20;150;170;2;85.0;31;31;4;2;33;33;200;200;200;1;200.0;0;0;4;1;1;0;0;0;0;0;0;0;74.1665
59;721;;МГУП (печати) (бывш. МГАП, МПИ);Институт издательского дела и журналистики;2015;Human;5;6;150;200;350;2;175.0;1;1;31;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
60;722;;МПГУ (бывш. МГПИ им. Ленина);Филологический (Институт филологии и иностранных языков);2017;Human;1;34;30;3800;19800;71;278.873;0;16;3;9;1;23;150;4100;22900;26;880.7689999999999;0;7;14;2;15;0;0;0;0;0;250;250;74.1665
61;729;;МГУ;Исторический;2017;Human;3;3;350;350;350;1;350.0;0;0;34;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
62;733;;РГГУ;Теоретической и прикладной лингвистики (Институт лингвистики);2015;Human;2;19;10;700;920;4;230.0;5;6;18;3;2;13;200;700;900;3;300.0;11;11;24;2;1;0;0;0;0;0;0;0;74.1665
63;736;Жен;ГИТР;Журналистики и сценарного мастерства;2015;Human;2;33;10;1000;5580;20;279.0;0;6;4;4;25;25;2500;2500;2500;1;2500.0;0;0;12;1;1;0;0;0;0;0;0;0;74.1665
64;738;;РГГУ;Социологический;2015;Human;17;17;3800;3800;3800;2;1900.0;0;0;20;1;17;17;3800;3800;3800;2;1900.0;0;0;20;1;1;1;0;0;0;0;0;0;74.1665
65;740;Жен;МГУ;Исторический;2016;Human;2;36;10;13600;30210;28;1078.93;0;6;1;7;1;36;300;14700;31500;19;1657.89;1;10;1;2;11;0;0;0;0;0;2750;2750;74.1665
66;749;;ЯрГУ им. П. Г. Демидова;Психологии;2015;Human;11;11;50;50;50;1;50.0;0;0;26;1;10;11;50;1000;1050;2;525.0;1;1;26;1;2;0;0;0;0;0;0;0;74.1665
67;775;Жен;МГУ;Философский;2016;Human;29;29;1500;1500;1500;1;1500.0;0;0;8;1;29;29;1600;1600;1600;1;1600.0;0;0;8;1;1;1;0;0;0;0;0;0;74.1665
68;778;;АлтГУ;Исторический;2018;Human;18;18;200;200;200;1;200.0;0;0;19;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
69;780;;МГУ;Социологический;2014;Human;22;22;300;300;300;1;300.0;0;0;15;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
70;798;;ТвГТУ;Дополнительного профессионального образования;2016;Human;35;35;2000;2000;2000;1;2000.0;0;0;2;1;35;35;2000;2000;2000;1;2000.0;0;0;2;1;1;0;0;0;0;0;2000;2000;74.1665
71;815;;ТвГТУ;Дополнительного профессионального образования;2015;Human;3;7;50;3200;9700;15;646.6669999999999;0;1;30;5;3;6;1000;6000;9200;7;1314.29;1;1;31;1;4;1;0;0;0;0;400;400;74.1665
72;826;;ТвГУ;Психологии и социальной работы;2015;Human;6;31;30;1800;4730;11;430.0;1;6;6;4;6;31;100;1900;4700;10;470.0;1;9;6;1;9;0;0;0;0;0;0;0;74.1665
73;854;Жен;ВлГУ им. А.Г. и Н.Г. Столетовых (ВлГУ и ВГГУ);Гуманитарный институт;2014;Human;20;31;600;1800;7500;12;625.0;1;2;6;1;20;31;600;1500;8800;12;733.3330000000001;0;2;6;2;8;1;0;0;0;0;0;0;74.1665
74;856;;ВлГУ им. А.Г. и Н.Г. Столетовых (ВлГУ и ВГГУ);Иностранных языков (ПИ);2015;Human;9;16;10;800;810;3;270.0;7;7;21;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
75;884;Муж;НГПУ им. Козьмы Минина;Психологии и педагогики;2016;Human;1;34;10;1300;19520;149;131.007;0;4;3;4;1;32;150;1600;16700;62;269.355;1;6;5;2;23;0;350;0;-350;0;5170;5170;74.1665
76;888;;НГПУ им. Козьмы Минина;Психологии и педагогики;2016;Human;4;4;24000;24000;24000;2;12000.0;0;0;33;1;0;0;0;0;0;0;0.0;0;0;37;0;0;1;0;0;0;0;0;0;74.1665
77;906;;ОмГТУ;Элитного образования и магистратуры;2017;Human;13;25;10;70;80;2;40.0;12;12;12;2;13;13;100;100;100;1;100.0;0;0;24;1;1;0;0;0;0;0;0;0;74.1665
78;911;;ОмГТУ;Гуманитарного образования;2016;Human;18;18;30;30;30;1;30.0;0;0;19;1;12;12;30;30;30;1;30.0;0;0;25;1;0;0;0;0;0;0;0;0;74.1665
79;994;;УГТУ-УПИ;Политологии и социологии (ИСПН);2015;Human;22;22;300;300;300;1;300.0;0;0;15;1;22;22;400;400;400;1;400.0;0;0;15;1;1;1;0;0;0;0;0;0;74.1665
80;1005;;УГТУ-УПИ;Философии (ИСПН);2014;Human;21;21;100;100;100;1;100.0;0;0;16;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
81;1008;Жен;УрГПУ;Институт педагогики и психологии детства;2017;Human;25;27;1700;1900;3600;2;1800.0;2;2;10;1;25;27;1800;2000;3800;2;1900.0;2;2;10;1;2;1;0;0;0;0;0;0;74.1665
82;1012;;СГА;Психология;2014;Human;2;9;80;3100;5680;3;1893.33;1;6;28;2;2;3;2600;3200;5800;4;1450.0;1;1;34;1;2;1;0;0;0;0;0;0;74.1665
83;1017;;Ульяновский государственный педагогический университет им И.Н. Ульянова;Иностранных языков;2017;Human;6;14;50;1800;3410;20;170.5;0;4;23;3;6;24;50;1400;3000;15;200.0;1;10;13;1;7;0;0;0;0;0;0;0;74.1665
84;1033;Муж;СГУ им. Питирима Сорокина;Институт гуманитарных наук;2015;Human;3;29;10;300;310;2;155.0;26;26;8;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;300;300;74.1665
85;1050;;НИУ СГУ им. Чернышевского;Институт филологии и журналистики;2014;Human;28;28;100;100;100;1;100.0;0;0;9;1;22;22;100;100;100;1;100.0;0;0;15;1;1;0;0;0;0;0;0;0;74.1665
86;1052;;УдГУ;Институт языка и литературы (бывш. Институт иностранных языков и литературы);2014;Human;2;2;80;400;480;2;240.0;0;0;35;2;2;2;500;500;500;1;500.0;0;0;35;1;1;0;0;0;0;0;0;0;74.1665
87;1063;;ПГУ;Историко-филологический (бывш. Иностранных языков, Исторический, Русского языка и литературы);2015;Human;2;9;60;900;1050;3;350.0;1;6;28;2;2;2;900;900;900;1;900.0;0;0;35;1;1;1;0;0;0;0;0;0;74.1665
88;1072;;УдГУ;Институт истории и социологии (бывш. Исторический, Социологии и философии);2014;Human;5;5;100;100;100;1;100.0;0;0;32;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
89;1073;Муж;СПбГУ;Журналистики (Высшая школа журналистики и массовых коммуникаций);2017;Human;21;32;10;500;860;6;143.333;2;6;5;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;850;850;74.1665
90;1082;;ЧелГУ;Журналистики (бывш. Институт гуманитарного образования);2014;Human;33;33;70;70;70;1;70.0;0;0;4;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;70;70;74.1665
91;1096;;ЮФУ (бывш. РГУ);Институт философии и социально-политических наук (бывш. Философии и культурологии);2015;Human;12;12;3000;3000;3000;1;3000.0;0;0;25;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
92;1102;;ТГПИ;Психологии и социальной педагогики (бывш. Социальной педагогики);2014;Human;11;28;150;4000;9800;21;466.667;1;6;9;2;14;22;600;3800;8400;8;1050.0;1;4;15;1;5;0;0;0;0;0;0;0;74.1665
93;1105;;ТвГУ;Иностранных языков и международной коммуникации;2015;Human;15;15;10;10;10;1;10.0;0;0;22;1;15;15;10;10;10;1;10.0;0;0;22;1;1;0;0;0;0;0;10;10;74.1665
94;1106;;ТвГУ;Психологии и социальной работы;2016;Human;18;20;100;2000;2700;3;900.0;1;1;17;2;19;20;600;2000;2600;2;1300.0;1;1;17;1;2;1;0;700;700;0;0;0;74.1665
95;1111;Муж;СмолГУ;Филологический;2018;Human;21;24;2100;4100;6200;2;3100.0;3;3;13;1;21;24;2200;4200;6400;2;3200.0;3;3;13;1;2;1;0;0;0;0;0;0;74.1665
96;1119;;СПбГУ;Институт философии (бывш. Философский факультет);2014;Human;1;6;10;1000;5850;128;45.7031;0;1;31;5;1;6;300;1100;4950;29;170.69;0;1;31;2;9;0;0;0;0;0;30;30;74.1665
97;1131;;НГПУ им. Козьмы Минина;Психологии и педагогики;2014;Human;3;30;40;2200;9180;24;382.5;0;10;7;5;3;30;200;2600;8800;12;733.3330000000001;1;10;7;1;7;0;0;0;0;0;40;40;74.1665
98;1133;Жен;ННГУ им. Лобачевского;Повышения квалификации и профессиональной переподготовки (Центр дополнительного профессионального образования);2016;Human;3;31;10;350;860;14;61.4286;0;8;6;7;3;30;100;400;900;4;225.0;3;15;7;1;4;1;0;0;0;0;170;170;74.1665
99;1144;Жен;ВолГМУ;Социальной работы и клинической психологии;2017;Human;2;26;10;300;870;7;124.286;1;7;11;2;2;25;100;300;850;5;170.0;1;12;12;1;5;0;0;0;0;0;0;0;74.1665
100;1165;Жен;ДГТУ (бывш. РИСХМ);Международный;2016;Human;1;27;250;2000;11400;11;1036.36;1;10;10;3;1;27;1000;2000;11300;10;1130.0;1;11;10;1;8;1;0;0;0;0;0;0;74.1665
101;1169;;ТГПИ;Психологии и социальной педагогики (бывш. Социальной педагогики);2015;Human;17;17;50;50;50;1;50.0;0;0;20;1;17;17;50;50;50;1;50.0;0;0;20;1;1;0;0;0;0;0;50;50;74.1665
102;1170;;ДГТУ (бывш. РИСХМ);Международный;2014;Human;1;24;10;2300;12100;39;310.256;0;7;13;3;1;13;250;3400;10650;13;819.2310000000001;1;3;24;1;9;0;0;0;0;0;0;0;74.1665
103;1172;Муж;ДГТУ (бывш. РИСХМ);Международный;2016;Human;9;33;10;2500;5040;7;720.0;5;12;4;2;9;33;2600;2600;5200;5;1040.0;24;24;4;1;2;0;0;0;0;0;0;0;74.1665
104;1176;;ТюмГУ;Институт дистанционного образования;2017;Human;2;18;50;2100;4600;14;328.57099999999997;0;5;19;4;2;18;150;6700;13050;16;815.625;0;6;19;2;6;0;1350;4150;2800;0;0;0;74.1665
105;1178;Жен;ТюмГУ;Институт дистанционного образования;2015;Human;5;32;20;26500;73030;55;1327.82;0;6;5;10;5;26;200;8000;46900;17;2758.82;0;3;11;3;13;1;0;0;0;0;0;0;74.1665
106;1182;;СурГУ;Институт гуманитарного образования и спорта;2014;Human;1;20;50;19200;121910;48;2539.79;0;6;17;8;7;7;6000;6000;6000;1;6000.0;0;0;30;1;1;1;0;0;0;0;19700;19700;74.1665
107;1192;;ЮФУ (бывш. РГУ);Академия психологии и педагогики (бывш. Академия педагогического образования, Факультет психологии, Факультет педагогики и практической психологии);2015;Human;3;3;10;800;810;2;405.0;0;0;34;2;3;3;350;350;350;1;350.0;0;0;34;1;0;0;0;0;0;0;0;0;74.1665
108;1197;Муж;СПбГУ;Журналистики (Высшая школа журналистики и массовых коммуникаций);2015;Human;1;34;10;21000;74560;95;784.842;0;6;3;8;1;28;100;20400;74900;80;936.25;1;6;9;1;16;0;0;0;0;0;69500;69500;74.1665
109;1253;;ННГАСУ;Институт открытого дистанционного образования (ОДО);2015;Human;32;32;30;30;30;1;30.0;0;0;5;1;32;32;30;30;30;1;30.0;0;0;5;1;0;0;0;0;0;0;0;0;74.1665
110;1264;;СПбГУАП;Институт непрерывного и дистанционного образования (Вечернего и заочного обучения);2014;Human;10;10;200;200;200;1;200.0;0;0;27;1;10;10;200;200;200;1;200.0;0;0;27;1;1;0;0;0;0;0;200;200;74.1665
111;1283;;ЛГУ им. Пушкина;Психологии;2018;Human;8;8;2000;2000;2000;1;2000.0;0;0;29;1;8;8;2100;2100;2100;1;2100.0;0;0;29;1;1;0;0;0;0;0;0;0;74.1665
112;1295;Жен;СПбГУАП;Институт непрерывного и дистанционного образования (Вечернего и заочного обучения);2016;Human;10;34;50;2800;13070;50;261.4;0;4;3;3;10;27;300;2500;6200;4;1550.0;1;15;10;2;4;0;0;0;0;0;0;0;74.1665
113;1309;;КФУ (бывш. КГУ им. Ульянова-Ленина);Институт социально-философских наук и массовых коммуникаций;2015;Human;13;22;10;6000;10810;44;245.68200000000002;0;6;15;4;13;16;100;6500;10900;29;375.86199999999997;0;1;21;2;4;0;0;0;0;0;0;0;74.1665
114;1334;;ЕГУ им. Бунина;Институт филологии (бывш. Филологический, Журналистики, Иностранных языков);2017;Human;18;18;30;30;30;1;30.0;0;0;19;1;12;12;30;30;30;1;30.0;0;0;25;1;0;0;0;0;0;0;0;0;74.1665
115;1353;Жен;КФУ (бывш. КГУ им. Ульянова-Ленина);Институт филологии и межкультурной коммуникации;2017;Human;6;36;10;3100;15870;40;396.75;0;5;1;5;6;36;90;3100;15490;29;534.138;1;5;1;1;17;0;0;0;0;0;13300;13300;74.1665
116;1354;;КФУ (бывш. КГУ им. Ульянова-Ленина);Институт филологии и межкультурной коммуникации;2015;Human;22;22;50;50;50;1;50.0;0;0;15;1;22;22;100;100;100;1;100.0;0;0;15;1;1;0;0;0;0;0;0;0;74.1665
117;1355;Муж;ИЭУП (НФ);Психологический;2015;Human;11;35;40;700;4060;49;82.8571;0;6;2;4;9;33;40;1100;4040;30;134.667;1;6;4;2;12;0;0;0;0;40;1080;1040;74.1665
118;1366;;ННГУ им. Лобачевского;Филологический;2016;Human;20;23;70;1000;1150;3;383.333;0;3;14;3;20;20;1200;1200;1200;2;600.0;0;0;17;1;1;0;0;0;0;0;0;0;74.1665
119;1422;;ВлГУ им. А.Г. и Н.Г. Столетовых (ВлГУ и ВГГУ);Филологический (ПИ);2017;Human;17;17;1300;1300;1300;1;1300.0;0;0;20;1;17;17;1300;1300;1300;2;650.0;0;0;20;1;1;0;0;0;0;0;0;0;74.1665
